State,Pending Cases,year
California,34221.0,1998
New York,23914.0,1998
Florida,20019.0,1998
Texas,9226.0,1998
New Jersey,3582.0,1998
Michigan,2725.0,1998
Illinois,2510.0,1998
Virginia,2060.0,1998
Arizona,1971.0,1998
Massachusetts,1850.0,1998
Pennsylvania,1672.0,1998
Maryland,1438.0,1998
Nevada,1396.0,1998
Georgia,1187.0,1998
Colorado,1001.0,1998
Minnesota,794.0,1998
Washington,710.0,1998
Connecticut,699.0,1998
Tennessee,539.0,1998
Missouri,431.0,1998
Oregon,428.0,1998
Puerto Rico,408.0,1998
Nebraska,405.0,1998
Louisiana,271.0,1998
Guam,117.0,1998
Hawaii,104.0,1998
Ohio,24.0,1998
Maine,,1998
Mississippi,,1998
Montana,,1998
New Hampshire,,1998
North Dakota,,1998
Oklahoma,,1998
Rhode Island,,1998
Alabama,,1998
South Carolina,,1998
Alaska,,1998
South Dakota,,1998
Arkansas,,1998
US Virgin Islands,,1998
Delaware,,1998
Vermont,,1998
District of Columbia,,1998
West Virginia,,1998
Idaho,,1998
Wisconsin,,1998
Indiana,,1998
Wyoming,,1998
Iowa,,1998
Kansas,,1998
California,31698.0,1999
New York,20910.0,1999
Texas,14074.0,1999
Florida,13420.0,1999
Michigan,2984.0,1999
Illinois,2789.0,1999
New Jersey,2756.0,1999
Massachusetts,2303.0,1999
Georgia,2013.0,1999
Virginia,1921.0,1999
Arizona,1612.0,1999
Maryland,1376.0,1999
Pennsylvania,1315.0,1999
Minnesota,1065.0,1999
Colorado,1050.0,1999
Nevada,757.0,1999
Washington,742.0,1999
Tennessee,719.0,1999
Connecticut,475.0,1999
Missouri,439.0,1999
Nebraska,391.0,1999
Puerto Rico,315.0,1999
Guam,249.0,1999
Louisiana,213.0,1999
Oregon,139.0,1999
Hawaii,82.0,1999
Ohio,65.0,1999
North Dakota,,1999
Oklahoma,,1999
Rhode Island,,1999
Alabama,,1999
South Carolina,,1999
Alaska,,1999
South Dakota,,1999
Arkansas,,1999
US Virgin Islands,,1999
Delaware,,1999
Vermont,,1999
District of Columbia,,1999
West Virginia,,1999
Idaho,,1999
Wisconsin,,1999
Indiana,,1999
Wyoming,,1999
Iowa,,1999
Kansas,,1999
Maine,,1999
Mississippi,,1999
Montana,,1999
New Hampshire,,1999
California,32767.0,2000
New York,20489.0,2000
Texas,14500.0,2000
Florida,11702.0,2000
Illinois,5252.0,2000
Massachusetts,2920.0,2000
New Jersey,2737.0,2000
Michigan,2728.0,2000
Georgia,1968.0,2000
Virginia,1798.0,2000
Arizona,1648.0,2000
Pennsylvania,1442.0,2000
Maryland,1377.0,2000
Colorado,1091.0,2000
Minnesota,1040.0,2000
Nebraska,907.0,2000
Washington,646.0,2000
Tennessee,556.0,2000
Puerto Rico,554.0,2000
Connecticut,544.0,2000
Nevada,470.0,2000
Missouri,357.0,2000
Oregon,207.0,2000
Ohio,130.0,2000
Louisiana,121.0,2000
Hawaii,41.0,2000
Guam,36.0,2000
Utah,1.0,2000
New Hampshire,,2000
North Dakota,,2000
Oklahoma,,2000
Rhode Island,,2000
Alabama,,2000
South Carolina,,2000
Alaska,,2000
South Dakota,,2000
Arkansas,,2000
US Virgin Islands,,2000
Delaware,,2000
Vermont,,2000
District of Columbia,,2000
West Virginia,,2000
Idaho,,2000
Wisconsin,,2000
Indiana,,2000
Wyoming,,2000
Iowa,,2000
Kansas,,2000
Maine,,2000
Mississippi,,2000
Montana,,2000
California,43923.0,2001
New York,21609.0,2001
Texas,15786.0,2001
Florida,15432.0,2001
Illinois,4382.0,2001
Massachusetts,3478.0,2001
Michigan,3339.0,2001
New Jersey,2724.0,2001
Virginia,2427.0,2001
Pennsylvania,2048.0,2001
Georgia,1607.0,2001
Arizona,1476.0,2001
Maryland,1463.0,2001
Colorado,1416.0,2001
Nebraska,1410.0,2001
Washington,1121.0,2001
Minnesota,1011.0,2001
Tennessee,934.0,2001
Connecticut,740.0,2001
Puerto Rico,682.0,2001
Nevada,475.0,2001
Ohio,436.0,2001
Missouri,426.0,2001
Louisiana,210.0,2001
Oregon,204.0,2001
Guam,143.0,2001
Hawaii,93.0,2001
Utah,18.0,2001
District of Columbia,,2001
West Virginia,,2001
Idaho,,2001
Wisconsin,,2001
Indiana,,2001
Wyoming,,2001
Iowa,,2001
Kansas,,2001
Maine,,2001
Mississippi,,2001
Montana,,2001
New Hampshire,,2001
North Dakota,,2001
Oklahoma,,2001
Rhode Island,,2001
Alabama,,2001
South Carolina,,2001
Alaska,,2001
South Dakota,,2001
Arkansas,,2001
US Virgin Islands,,2001
Delaware,,2001
Vermont,,2001
California,54014.0,2002
Florida,24141.0,2002
New York,21832.0,2002
Texas,10902.0,2002
Massachusetts,4245.0,2002
Illinois,3373.0,2002
Michigan,3350.0,2002
New Jersey,3129.0,2002
Pennsylvania,2553.0,2002
Virginia,2321.0,2002
Arizona,1777.0,2002
Maryland,1686.0,2002
Colorado,1675.0,2002
Georgia,1649.0,2002
Nebraska,1256.0,2002
Ohio,1161.0,2002
Washington,1082.0,2002
Tennessee,1060.0,2002
Minnesota,1048.0,2002
Connecticut,763.0,2002
Missouri,721.0,2002
Nevada,631.0,2002
Louisiana,291.0,2002
Puerto Rico,278.0,2002
Oregon,261.0,2002
Utah,93.0,2002
Guam,62.0,2002
Hawaii,51.0,2002
Kansas,,2002
Maine,,2002
Mississippi,,2002
Montana,,2002
New Hampshire,,2002
North Dakota,,2002
Oklahoma,,2002
Rhode Island,,2002
Alabama,,2002
South Carolina,,2002
Alaska,,2002
South Dakota,,2002
Arkansas,,2002
US Virgin Islands,,2002
Delaware,,2002
Vermont,,2002
District of Columbia,,2002
West Virginia,,2002
Idaho,,2002
Wisconsin,,2002
Indiana,,2002
Wyoming,,2002
Iowa,,2002
California,49765.0,2003
Florida,25027.0,2003
New York,20069.0,2003
Texas,10578.0,2003
Massachusetts,5097.0,2003
Pennsylvania,4112.0,2003
Illinois,3946.0,2003
New Jersey,3414.0,2003
Arizona,2982.0,2003
Michigan,2902.0,2003
Maryland,2541.0,2003
Ohio,2522.0,2003
Georgia,2362.0,2003
Colorado,2287.0,2003
Virginia,2220.0,2003
Tennessee,1604.0,2003
Nebraska,1460.0,2003
Missouri,1117.0,2003
Minnesota,1084.0,2003
Washington,958.0,2003
Nevada,932.0,2003
Connecticut,748.0,2003
Puerto Rico,430.0,2003
Oregon,318.0,2003
Louisiana,293.0,2003
Utah,277.0,2003
Hawaii,95.0,2003
Guam,18.0,2003
Kansas,,2003
Maine,,2003
Mississippi,,2003
Montana,,2003
New Hampshire,,2003
North Dakota,,2003
Oklahoma,,2003
Rhode Island,,2003
Alabama,,2003
South Carolina,,2003
Alaska,,2003
South Dakota,,2003
Arkansas,,2003
US Virgin Islands,,2003
Delaware,,2003
Vermont,,2003
District of Columbia,,2003
West Virginia,,2003
Idaho,,2003
Wisconsin,,2003
Indiana,,2003
Wyoming,,2003
Iowa,,2003
California,39045.0,2004
Florida,27592.0,2004
New York,17425.0,2004
Texas,16580.0,2004
Massachusetts,5528.0,2004
Illinois,3828.0,2004
Pennsylvania,3751.0,2004
Arizona,3328.0,2004
Maryland,3255.0,2004
Ohio,3121.0,2004
New Jersey,2871.0,2004
Michigan,2723.0,2004
Georgia,2625.0,2004
Colorado,2391.0,2004
Virginia,2352.0,2004
Nebraska,1907.0,2004
Missouri,1713.0,2004
Minnesota,1232.0,2004
Tennessee,1154.0,2004
Washington,1067.0,2004
Connecticut,768.0,2004
Nevada,593.0,2004
Utah,489.0,2004
Puerto Rico,461.0,2004
Louisiana,358.0,2004
Oregon,257.0,2004
Guam,69.0,2004
Hawaii,44.0,2004
Rhode Island,,2004
Alabama,,2004
South Carolina,,2004
Alaska,,2004
South Dakota,,2004
Arkansas,,2004
US Virgin Islands,,2004
Delaware,,2004
Vermont,,2004
District of Columbia,,2004
West Virginia,,2004
Idaho,,2004
Wisconsin,,2004
Indiana,,2004
Wyoming,,2004
Iowa,,2004
Kansas,,2004
Maine,,2004
Mississippi,,2004
Montana,,2004
New Hampshire,,2004
North Dakota,,2004
Oklahoma,,2004
California,33898.0,2005
Florida,32460.0,2005
Texas,24586.0,2005
New York,19387.0,2005
Massachusetts,9365.0,2005
Georgia,4373.0,2005
Illinois,4029.0,2005
Maryland,3955.0,2005
Pennsylvania,3770.0,2005
Ohio,3694.0,2005
New Jersey,3580.0,2005
Virginia,3156.0,2005
Michigan,2558.0,2005
Arizona,2276.0,2005
Colorado,2140.0,2005
Nebraska,1978.0,2005
Missouri,1770.0,2005
Connecticut,1697.0,2005
Washington,1226.0,2005
Minnesota,1138.0,2005
Tennessee,1109.0,2005
Utah,676.0,2005
Nevada,666.0,2005
Louisiana,555.0,2005
Puerto Rico,474.0,2005
Oregon,442.0,2005
Hawaii,46.0,2005
Guam,10.0,2005
Iowa,,2005
Kansas,,2005
Maine,,2005
Mississippi,,2005
Montana,,2005
New Hampshire,,2005
North Dakota,,2005
Oklahoma,,2005
Rhode Island,,2005
Alabama,,2005
South Carolina,,2005
Alaska,,2005
South Dakota,,2005
Arkansas,,2005
US Virgin Islands,,2005
Delaware,,2005
Vermont,,2005
District of Columbia,,2005
West Virginia,,2005
Idaho,,2005
Wisconsin,,2005
Indiana,,2005
Wyoming,,2005
California,34596.0,2006
Florida,31149.0,2006
New York,20045.0,2006
Texas,9627.0,2006
Massachusetts,7306.0,2006
Virginia,4716.0,2006
Georgia,4388.0,2006
Ohio,3752.0,2006
Illinois,3752.0,2006
Maryland,3586.0,2006
New Jersey,3484.0,2006
Michigan,2812.0,2006
Pennsylvania,2674.0,2006
Colorado,2452.0,2006
Arizona,2330.0,2006
Nebraska,2132.0,2006
Washington,2120.0,2006
Missouri,1861.0,2006
Puerto Rico,1299.0,2006
Louisiana,1020.0,2006
Tennessee,992.0,2006
Connecticut,978.0,2006
Minnesota,943.0,2006
Utah,840.0,2006
Nevada,765.0,2006
Oregon,689.0,2006
Hawaii,106.0,2006
Guam,18.0,2006
Rhode Island,,2006
Alabama,,2006
South Carolina,,2006
Alaska,,2006
South Dakota,,2006
Arkansas,,2006
US Virgin Islands,,2006
Delaware,,2006
Vermont,,2006
District of Columbia,,2006
West Virginia,,2006
Idaho,,2006
Wisconsin,,2006
Indiana,,2006
Wyoming,,2006
Iowa,,2006
Kansas,,2006
Maine,,2006
Mississippi,,2006
Montana,,2006
